track_uri,track_popularity
1AX7J0yLgr8omfK9fnQCBH,1
1nS7PNnOv8BEGazxQqvPKO,0
6jAsLr1NDAdcH7wbK2eOlJ,0
6jxjWXitoTuVsOf7hhkHnx,0
1D665njPFTDuZsWxmcgQz8,0
6vMd71SxAIUxTwPlLntDv0,1
6j171QYbpSSbNDD2CFjM7x,0
0EiVM1J2BLTjBOJJefOKYH,0
7gngM4fuUDwWqBX03pV4Sx,0
6CyO5YmI9utU16RGJptCjc,0
6JGrxRkS3YNgcVpgSAiQEZ,0
6PReO6tBSz0eaiBH4OUuBD,1
0VQ3MYFzlP7v9MW0nfDqEO,0
2YQX5Caa77BzSpLo6mmb5a,0
5HXIewQynkMB7xilKhlirA,0
2s62oaSjvN7VBVgZ1RiVX9,0
0rIRQzND7Ygkc8dD4Up26P,0
4AZrGY8svkIylX1aPJY7LB,5
1pGs3w5LgKmMQXEDwvTEMV,0
08oziGMPx2H8bVgTanwwj3,1
1YG0S83N2nnx3OHJ1xawKS,5
4f3KHR3AMke3WmaciwlCLp,1
6w00fEwmuCLlmiqg7Qi1KF,1
6wQt2YhUmfJozHZ1cMCpQz,6
4qErD1cvH5WaVuqjdZZi3m,0
04r25eg2V9NLWEhEkjOx5X,0
3MOKAZhnyclL6p84EMOkoG,4
4YN1yE15DfJpOEtIO2uUI4,35
3abzVp5QKFDFyLhxZm7W5X,19
74z7wqukb3iycqBI9bzSJ2,4
5fPs5LhexhH4dYgUyw4JoY,18
6kHloHRxmsbWh8sEbDdooI,2
4errMlpDiqr9cO0V16MLjQ,0
5QNEUi7oFTKcOrEMzLA9uV,8
6btqpuwCTK96dSc7TpShgk,24
5DRD6ORAoilGd5bTuzOG8D,37
0oNTJpKhjSGg4XCmaZtrRl,9
23jtJJJHw9lJecTueJzWqm,3
6HbX7iRGsPrPhitaPJJzmP,7
3lxmdu9X9a6SVysg1dCpkr,2
1WDq68GSnceTftxZRfdz7n,10
2gC7gI5pp9HxczXtDUe3yk,14
52PTQKkfOwng8lv7ttNdGX,0
1p5RfaVSHJhd3SCzBEikDp,38
4431Ew1ndtl1qTWdBNFjtU,24
1MNWaUhByjbfwhhWa9NSSC,7
4DeKhA9cE6MuPxCOrkTgs2,12
6Pm5m45fMlLOJ8pKBHKzSc,27
07CPBe6hvgHgn749mxR0EJ,34
7HAuQMhvEKtZCGBKZiyj66,12
2xgQvq4WuBX9DLmPkeBQ3M,31
1KzEz2YM5TVHG2oL2GIG6E,19
6XpjIhIhIA5AGTyk06FNKU,0
3V2TMVsl5LlDvEVff9hw31,42
5DvPcu353BOXWUiG7yIIDq,12
1xxmZO56xoHtjczSHsjOhW,1
70MmyszwZV1tU7UKZXmaF1,0
1mJQoOICr4UlV6nG3EI4NN,42
5BLeqpzTmzKDaN51DNKM1b,14
5ZS9fcqcYtfL80rj1bf7Lb,33
0R7PN6VlpaGnR59etZe1XH,0
5w3MrGXEz3aREGQTIBKeyo,19
6zG6TbfzPDK2xRgS6MvH7J,28
09g4hFrDdBK3J52I3InPgl,44
157ZzylmZsjQWXm8TSDkWL,0
5qdeseBpU31NBAlySaaRMk,0
4oRcqiKPIprx4EwOm5c9U6,27
7gHSbG6fFD8tuMoAWNWqoI,0
6ElESrhqjS1PJDDOMTotYe,0
7BWvUqHLziROVeKttUQVfT,39
1qBKrPkpVNu11W4tjY88Gj,41
2D6t8TtB1cpgXK1L1fJ5P5,44
7lx7ourd9AVFIBXFTCWXx8,43
5klQSk2bLb0U3vnvGJUZf4,51
00JbznfNVCiSSqLXI7wd5B,45
4hWQaCHO3k3bTYi8AozKTE,54
3KFmkaurkJTvBAZG5ZjnuU,30
4UPyr3Tep8idtAmisAu1qs,57
